gene_id	n_AG	n_GA	mean_alt_ratio_AG	mean_alt_ratio_GA	beta_GA_vs_AG	p_value	q_value	gene_name	gene_product
gene-LOC105317810	9	6	0.482573726541555	0.498333333333333	0.0630666466564927	0.756686920009887	0.937429493674298	LOC105317810	AP-2 complex subunit sigma
gene-LOC105317814	3	6	0.516666666666667	0.502824858757062	-0.0553918192447382	0.697701883317043	0.913163926653734	LOC105317814	ankyrin repeat family A protein 2
gene-LOC105317819	3	3	0.49901768172888	0.480874316939891	-0.0726107989824437	0.663614390440492	0.902254105680236	LOC105317819	la-related protein 6
gene-LOC105317820	5	8	0.55026455026455	0.379591836734694	-0.693020670344077	0.0206303867260148	0.3321429932242	LOC105317820	uncharacterized LOC105317820
gene-LOC105317823	4	5	0.520249221183801	0.453302961275626	-0.268375308619542	0.364350047022501	0.764482392329041	LOC105317823	uncharacterized LOC105317823
gene-LOC105317830	9	9	0.483265828181624	0.470512545571521	-0.0511251518283279	0.425458981463207	0.805794692759	LOC105317830	pleckstrin homology domain-containing family A member 2
gene-LOC105317840	5	7	0.49837925445705	0.484059856864021	-0.0572991819236778	0.199593059113824	0.649907869776525	LOC105317840	von Willebrand factor A domain-containing protein 7
gene-LOC105317850	9	9	0.427049559981473	0.418104667609618	-0.036659639309532	0.777779383838297	0.940371751526568	LOC105317850	enolase-phosphatase E1
gene-LOC105317852	5	6	0.498901098901099	0.478816946442846	-0.0803873523381656	0.537577071143615	0.853802779015179	LOC105317852	electron transfer flavoprotein subunit beta
gene-LOC105317874	6	6	0.5	0.4425	-0.231022038886288	0.381805359047797	0.776515147285117	LOC105317874	ATP-dependent RNA helicase DDX42
gene-LOC105317875	9	9	0.443146896127843	0.438721136767318	-0.0179537082008184	0.874085078053778	0.970633365024569	LOC105317875	zinc finger CCCH domain-containing protein 10
gene-LOC105317885	9	8	0.47409664780148	0.535102739726027	0.244348585364266	0.00499075654434128	0.264833475690766	LOC105317885	U5 small nuclear ribonucleoprotein 200 kDa helicase
gene-LOC105317888	8	7	0.525471698113208	0.525517938352703	0.000185443099613069	0.999035580391203	0.999873284612798	LOC105317888	actin-related protein 3
gene-LOC105317890	6	2						LOC105317890	importin subunit beta-1
gene-LOC105317891	5	3	0.390317700453858	0.323420074349442	-0.292121591290136	0.300283258674483	0.73011828238585	LOC105317891	uncharacterized LOC105317891
gene-LOC105317892	5	3	0.390317700453858	0.323420074349442	-0.292121591290136	0.300283258674483	0.73011828238585	LOC105317892	vacuolar protein sorting-associated protein 8 homolog
gene-LOC105317894	7	2						LOC105317894	annexin A5
gene-LOC105317898	9	9	0.503261312678353	0.486568677141409	-0.066783655506775	0.59303493415714	0.870766987494221	LOC105317898	uro-adherence factor A
gene-LOC105317899	8	7	0.550702028081123	0.533123028391167	-0.0708211356386894	0.71529935926706	0.92191953182013	LOC105317899	roundabout homolog 2
gene-LOC105317904	9	9	0.489452766738001	0.479388605836035	-0.0402971323400808	0.491591258462981	0.835907585076706	LOC105317904	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1
gene-LOC105317911	9	9	0.486511063958775	0.473098887886985	-0.0537396162960023	0.518974168668809	0.847386500447777	LOC105317911	proton-coupled zinc antiporter SLC30A1
gene-LOC105317912	5	3	0.483644859813084	0.399209486166008	-0.343316095752631	0.0144557854021395	0.312705957494599	LOC105317912	maternal B9.10 protein
gene-LOC105317913	9	9	0.473049645390071	0.481481481481482	0.0337980266484136	0.678741695673943	0.908683866926015	LOC105317913	RNA polymerase-associated protein CTR9 homolog
gene-LOC105317914	9	9	0.492307692307692	0.480891719745223	-0.0456987053250842	0.574144992477684	0.863971862603841	LOC105317914	oxysterol-binding protein-related protein 8
gene-LOC105317915	9	9	0.494013303769401	0.473051711580481	-0.0839497805860375	0.719581923820085	0.923742290354861	LOC105317915	uncharacterized LOC105317915
gene-LOC105317916	8	9	0.435214881334189	0.450335570469799	0.0612905017799391	0.488436212194069	0.835907585076706	LOC105317916	heat shock 70 kDa protein 12A
