gene	ePST	epst_class
ORTHO_000446	0.0438453950110767	Mostly plastic / shared regulation
ORTHO_000447	0.0395470320946748	Mostly plastic / shared regulation
ORTHO_000448	7.44654217231818e-05	Mostly plastic / shared regulation
ORTHO_000449	0.0918696680282287	Weak differentiation
ORTHO_000450	0.0225919049338718	Mostly plastic / shared regulation
ORTHO_000451	0.330062721175264	Strong divergence
ORTHO_000452	0.465386465301855	Strong divergence
ORTHO_000454	0.0345747872427237	Mostly plastic / shared regulation
ORTHO_000455	0.300008875374921	Strong divergence
ORTHO_000456	0.48995335305208	Strong divergence
ORTHO_000457	0.442772711640076	Strong divergence
ORTHO_000458	0.123775930532485	Regulatory divergence
ORTHO_000459	0.0630837617505228	Weak differentiation
ORTHO_000460	0.158527874422261	Regulatory divergence
ORTHO_000461	0.306353025248938	Strong divergence
ORTHO_000462	0.381157103259209	Strong divergence
ORTHO_000464	0.0263109260625695	Mostly plastic / shared regulation
ORTHO_000465	0.244976232854477	Regulatory divergence
ORTHO_000466	4.02288259368802e-05	Mostly plastic / shared regulation
ORTHO_000467	0.131913115480048	Regulatory divergence
ORTHO_000468	0.0127453007029191	Mostly plastic / shared regulation
ORTHO_000469	0.0851337709042164	Weak differentiation
ORTHO_000470	0.0165366912749436	Mostly plastic / shared regulation
ORTHO_000471	0.59670750074506	Strong divergence
ORTHO_000472	0.0540120851821515	Weak differentiation
ORTHO_000473	0.356088444826573	Strong divergence
ORTHO_000474	0.589431139765902	Strong divergence
ORTHO_000475	0.000325003511203858	Mostly plastic / shared regulation
ORTHO_000476	0.0263337231105475	Mostly plastic / shared regulation
ORTHO_000477	4.41988437308484e-07	Mostly plastic / shared regulation
ORTHO_000478	0.321462312294579	Strong divergence
ORTHO_000479	0.368128563042393	Strong divergence
ORTHO_000480	0.000240787985486103	Mostly plastic / shared regulation
ORTHO_000481	0.00422731405454396	Mostly plastic / shared regulation
ORTHO_000482	0.610425975785679	Strong divergence
ORTHO_000483	0.145947194519735	Regulatory divergence
ORTHO_000484	0.00589874782252857	Mostly plastic / shared regulation
ORTHO_000485	0.166849981470825	Regulatory divergence
ORTHO_000486	0.00434813477929401	Mostly plastic / shared regulation
ORTHO_000487	0.104086168305429	Weak differentiation
ORTHO_000488	0.0293698724287021	Mostly plastic / shared regulation
ORTHO_000489	0.701173444048238	Strong divergence
ORTHO_000490	0.308047180972807	Strong divergence
ORTHO_000491	0.00265711163894227	Mostly plastic / shared regulation
ORTHO_000492	0.000281055650292078	Mostly plastic / shared regulation
ORTHO_000493	0.423860557059574	Strong divergence
ORTHO_000494	0.196239261591051	Regulatory divergence
ORTHO_000495	0.00251591847724255	Mostly plastic / shared regulation
ORTHO_000496	0.0398956787461102	Mostly plastic / shared regulation
ORTHO_000497	0.180283375604187	Regulatory divergence
ORTHO_000498	0.0475111794990952	Mostly plastic / shared regulation
ORTHO_000499	0.532473577385609	Strong divergence
ORTHO_000500	0.0386708920431411	Mostly plastic / shared regulation
ORTHO_000501	0.0820812057415371	Weak differentiation
ORTHO_000502	0.020951711547961	Mostly plastic / shared regulation
ORTHO_000503	0.010202517729201	Mostly plastic / shared regulation
ORTHO_000504	0.0682025311583137	Weak differentiation
ORTHO_000505	0.00525968905825913	Mostly plastic / shared regulation
ORTHO_000506	0.380697537737418	Strong divergence
ORTHO_000507	0.17425204372375	Regulatory divergence
ORTHO_000508	0.114444991308743	Weak differentiation
ORTHO_000509	0.41674401481915	Strong divergence
ORTHO_000510	0.102288130010288	Weak differentiation
ORTHO_000511	0.030562259732535	Mostly plastic / shared regulation
ORTHO_000512	0.0793104668260746	Weak differentiation
ORTHO_000513	0.102280810654919	Weak differentiation
ORTHO_000514	0.00890160217027638	Mostly plastic / shared regulation
ORTHO_000515	0.181790863971097	Regulatory divergence
ORTHO_000516	0.405526133302187	Strong divergence
ORTHO_000517	0.125901046039024	Regulatory divergence
